Code,Name,Market,Marcap_억원,Stocks
058650,세아홀딩스,KOSPI,6588,4242236
161000,애경케미칼,KOSPI,6563,48648709
001060,JW중외제약,KOSPI,6555,23285930
358570,지아이이노베이션,KOSDAQ,6539,64237450
014820,동원시스템즈,KOSPI,6538,28991282
016380,KG스틸,KOSPI,6511,100008897
001270,부국증권,KOSPI,6471,10369886
249420,일동제약,KOSPI,6470,31638252
399720,가온칩스,KOSDAQ,6464,11838844
293940,신한알파리츠,KOSPI,6458,120940123
033640,네패스,KOSDAQ,6445,23059202
033500,동성화인텍,KOSDAQ,6418,29989494
199800,툴젠,KOSDAQ,6413,8993829
00104K,CJ4우(전환),KOSPI,6374,4226512
389470,인벤티지랩,KOSDAQ,6357,13285216
001570,금양,KOSPI,6333,63967196
002350,넥센타이어,KOSPI,6319,97667877
328130,루닛,KOSDAQ,6233,37191318
102710,이엔에프테크놀로지,KOSDAQ,6229,14287836
059090,미코,KOSDAQ,6229,33416778
217590,티엠씨,KOSPI,6204,24094225
006380,카프로,KOSPI,6185,168999996
348210,넥스틴,KOSDAQ GLOBAL,6119,10477005
376300,디어유,KOSDAQ,6113,23738406
253590,네오셈,KOSDAQ,6111,43869164
452280,한선엔지니어링,KOSDAQ,6091,19246420
368770,파이버프로,KOSDAQ,6091,32854225
001500,현대차증권,KOSPI,6084,61833044
017940,E1,KOSPI,6071,6860000
002840,미원상사,KOSPI,6061,4750000
000640,동아쏘시오홀딩스,KOSPI,5965,6732527
272290,이녹스첨단소재,KOSDAQ GLOBAL,5941,19937509
015750,성우하이텍,KOSDAQ,5896,80000000
0011T0,채비,KOSDAQ,5895,46785280
003280,흥아해운,KOSPI,5878,240424899
089890,코세스,KOSDAQ,5871,16584962
008060,대덕,KOSPI,5848,31287098
001530,DI동일,KOSPI,5842,20715621
460930,현대힘스,KOSDAQ,5842,35510671
067160,SOOP,KOSDAQ GLOBAL,5805,11494767
041830,인바디,KOSDAQ,5804,13480882
089010,켐트로닉스,KOSDAQ,5794,16770027
475960,토모큐브,KOSDAQ,5788,13383274
039130,하나투어,KOSPI,5785,15489932
214430,아이쓰리시스템,KOSDAQ,5765,7307215
453340,현대그린푸드,KOSPI,5715,32471587
005810,풍산홀딩스,KOSPI,5659,14417292
024850,HLB이노베이션,KOSDAQ,5633,31733098
486990,노타,KOSDAQ,5614,21346230
278280,천보,KOSDAQ,5567,12180680
002240,고려제강,KOSPI,5562,27000000
005389,현대차3우B,KOSPI,5551,2327452
